Matching Cisco Log Entries
"*Oct 15 08:23:50.651: %LINEPROTO-5-UPDOWN: Line protocol on Interface VoIP-Null0, changed state to up"
"*Oct 15 08:23:50.659: %LINK-3-UPDOWN: Interface FastEthernet0/0, changed state to up"
"*Oct 15 08:23:50.663: %LINK-3-UPDOWN: Interface Ethernet1/0, changed state to up"
"*Oct 15 08:23:50.671: %LINK-3-UPDOWN: Interface Ethernet1/1, changed state to up"
"*Oct 15 08:23:50.675: %LINK-3-UPDOWN: Interface Ethernet1/2, changed state to up"
"*Oct 15 08:23:50.679: %LINK-3-UPDOWN: Interface Ethernet1/3, changed state to up"
"*Oct 15 08:23:51.659: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/0, changed state to up"
"*Oct 15 08:23:51.663: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/0, changed state to up"
"*Oct 15 08:23:51.667: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/1, changed state to up"
"*Oct 15 08:23:51.675: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/2, changed state to up"
"*Oct 15 08:23:51.679: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/3, changed state to up"
"*Oct 15 08:42:44.747: %LINK-5-CHANGED: Interface FastEthernet0/0, changed state to administratively down"
"*Oct 15 08:42:44.755: %LINK-5-CHANGED: Interface Ethernet1/0, changed state to administratively down"
"*Oct 15 08:42:44.755: %LINK-5-CHANGED: Interface Ethernet1/1, changed state to administratively down"
"*Oct 15 08:42:44.759: %LINK-5-CHANGED: Interface Ethernet1/2, changed state to administratively down"
"*Oct 15 08:42:44.767: %LINK-5-CHANGED: Interface Ethernet1/3, changed state to administratively down"
"*Oct 15 08:42:45.747: %LINEPROTO-5-UPDOWN: Line protocol on Interface FastEthernet0/0, changed state to down"
"*Oct 15 08:42:45.755: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/0, changed state to down"
"*Oct 15 08:42:45.755: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/1, changed state to down"
"*Oct 15 08:42:45.759: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/2, changed state to down"
"*Oct 15 08:42:45.771: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/3, changed state to down"
"*Oct 15 09:00:06.931: %LINK-3-UPDOWN: Interface Ethernet1/1, changed state to up"
"*Oct 15 09:00:07.931: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/1, changed state to up"
"*Oct 15 09:00:58.699: %LINK-3-UPDOWN: Interface Ethernet1/3, changed state to up"
"*Oct 15 09:00:59.699: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/3, changed state to up"
"*Oct 15 09:10:47.199: %LINK-3-UPDOWN: Interface Ethernet1/0, changed state to up"
"*Oct 15 09:10:48.199: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/0, changed state to up"
"*Oct 15 09:11:48.127: %LINK-3-UPDOWN: Interface Ethernet1/2, changed state to up"
"*Oct 15 09:11:49.127: %LINEPROTO-5-UPDOWN: Line protocol on Interface Ethernet1/2, changed state to up"
